Sample	Chrom	Pos
PD49226b_lo0249	6	35610742
PD49226b_lo0249	12	6217428
PD49226b_lo0249	X	50502658
PD49226b_lo0250	1	44228079
PD49226b_lo0250	20	18236476
PD49226b_lo0251	1	93992118
PD49226b_lo0251	4	82203546
PD49226b_lo0251	13	84021002
PD49226b_lo0251	22	39139329
PD49226b_lo0252	1	155808695
PD49226b_lo0252	9	3512481
PD49226b_lo0252	17	2188228
PD49226b_lo0252	20	33065949
PD49226b_lo0252	20	48438291
PD49226b_lo0252	21	34106353
PD49226b_lo0253	3	151486406
PD49226b_lo0253	4	17973310
PD49226b_lo0253	4	111061495
PD49226b_lo0253	5	33174912
PD49226b_lo0253	6	49617487
PD49226b_lo0253	7	140453898
PD49226b_lo0253	8	109018352
PD49226b_lo0253	10	19911700
PD49226b_lo0253	10	111852125
PD49226b_lo0253	12	11190061
PD49226b_lo0253	13	32383629
PD49226b_lo0253	18	1600086
PD49226b_lo0253	19	17261243
PD49226b_lo0255	1	44428569
PD49226b_lo0256	9	128515798
PD49226b_lo0256	X	313657
PD49226b_lo0257	12	55349352
PD49226b_lo0257	15	48880142
PD49226b_lo0257	16	89010628
PD49226b_lo0257	17	73959705
PD49226b_lo0257	20	8218516
PD49226b_lo0259	7	105747327
PD49226b_lo0259	22	40627141
PD49226b_lo0260	1	155808662
PD49226b_lo0260	9	3512525
PD49226b_lo0260	17	2188228
PD49226b_lo0260	20	33066245
PD49226b_lo0260	20	48438291
PD49226b_lo0260	21	34106380
PD49226b_lo0261	14	86401562
PD49226b_lo0264	14	33885228
PD49226b_lo0265	3	37800034
PD49226b_lo0265	8	136576523
PD49226b_lo0266	1	63075314
PD49226b_lo0266	11	107325258
PD49226b_lo0267	12	89567274
PD49226b_lo0267	19	54699288
PD49226b_lo0268	10	127532415
PD49226b_lo0269	1	198678258
PD49226b_lo0270	18	1434202
PD49226b_lo0271	2	29003318
PD49226b_lo0271	2	138725365
PD49226b_lo0271	5	80966066
PD49226b_lo0271	15	40923273
PD49226b_lo0271	16	14799143
PD49226b_lo0271	16	29087748
PD49226b_lo0273	16	74534594
PD49226b_lo0275	4	157037533
PD49226b_lo0275	19	15397653
PD49226b_lo0278	3	105426837
PD49226b_lo0278	6	137109917
PD49226b_lo0279	2	10812466
PD49226b_lo0279	8	742228
PD49226b_lo0281	1	236697997
PD49226b_lo0281	12	116481703
PD49226b_lo0281	21	25661047
PD49226b_lo0283	2	111321182
PD49226b_lo0283	6	83808277
PD49226b_lo0283	12	52313023
PD49226b_lo0283	14	106990728
PD49226b_lo0283	19	3542263
PD49226b_lo0284	2	44567181
PD49226b_lo0284	2	98533832
PD49226b_lo0284	10	16509022
PD49226b_lo0284	18	42126335
PD49226b_lo0284	18	46419742
PD49226b_lo0284	18	59780601
PD49226b_lo0284	X	135871248
PD49226b_lo0728	3	56785559
PD49226b_lo0732	1	51981987
PD49226b_lo0732	18	36859926
PD49226b_lo0733	7	18858761
PD49226b_lo0734	16	29538803
PD49226b_lo0734	16	30278651
PD49226b_lo0735	17	18692558
PD49226b_lo0736	12	9775861
PD49226b_lo0736	17	73834414
PD49226b_lo0740	2	64233467
PD49226b_lo0740	3	17697100
PD49226b_lo0740	8	145260134
PD49226b_lo0745	4	62488087
PD49226b_lo0747	11	65853390
PD49226b_lo0750	1	23489246
PD49226b_lo0750	3	196471417
PD49226b_lo0750	5	40267850
PD49226b_lo0750	7	92416021
PD49226b_lo0751	19	54878916
PD49226b_lo0752	16	28166576
PD49226b_lo0753	12	62888248
PD49226b_lo0754	2	99084969
PD49226b_lo0754	3	17447061
PD49226b_lo0755	3	47741119
PD49226b_lo0755	16	69626237
PD49226b_lo0756	11	121438467
PD49226b_lo0757	7	78063044
PD49226b_lo0758	1	155316352
PD49226b_lo0762	22	41880116
PD49226b_lo0763	1	223735152
PD49226b_lo0763	9	138935131
PD49226b_lo0763	11	117238399
PD49226b_lo0763	13	52013192
PD49226b_lo0764	5	39725531
PD49226b_lo0764	6	155075907
PD49226b_lo0765	7	78062944
PD49226b_lo0767	15	91297449
PD49226b_lo0771	11	65853432
PD49226b_lo0773	3	179085618
PD49226b_lo0773	17	73374482
PD49226b_lo0773	X	36023566
PD49226b_lo0774	5	39725618
PD49226b_lo0774	6	155075866
PD49226b_lo0775	1	84630805
PD49226b_lo0776	12	57954114
PD49226b_lo0780	1	10411447
PD49226b_lo0780	3	170913837
PD49226b_lo0780	13	91911546
PD49226b_lo0782	6	32524507
PD49226b_lo0782	6	32550617
PD49226b_lo0783	1	223735248
PD49226b_lo0783	9	138935502
PD49226b_lo0783	11	117238368
PD49226b_lo0783	13	52013005
PD49226b_lo0785	5	20426818
PD49226b_lo0785	10	89631825
PD49226b_lo0785	16	59258634
PD49226b_lo0785	17	27603779
PD49226b_lo0788	8	144439892
PD49226b_lo0791	10	74895556
PD49226b_lo0791	13	28769918
PD49226b_lo0791	19	12381234
PD49226b_lo0792	11	65231426
PD49226b_lo0792	12	49588744
PD49226b_lo0793	16	1512985
PD49226b_lo0798	15	59376311
PD49226b_lo0800	1	223735280
PD49226b_lo0800	9	138935213
PD49226b_lo0800	11	117238399
PD49226b_lo0800	13	52013186
PD49226b_lo0803	3	47201324
PD49226b_lo0804	1	10411447
PD49226b_lo0804	3	170913630
PD49226b_lo0804	13	91911412
PD49226b_lo0805	11	64048064
PD49226b_lo0806	1	145281548
PD49226b_lo0806	16	67118414
PD49226b_lo0806	17	57848025
PD49226b_lo0807	6	32613370
PD49226b_lo0808	11	65853109
PD49226b_lo0811	3	47201424
PD49226b_lo0819	2	17299734
PD49226b_lo0819	2	69028657
PD49226b_lo0819	2	98550425
PD49226b_lo0819	3	151925345
PD49226b_lo0819	4	105862694
PD49226b_lo0819	7	8882378
PD49226b_lo0819	8	104193783
PD49226b_lo0819	9	88590901
PD49226b_lo0819	10	20552306
PD49226b_lo0819	13	87735407
PD49226b_lo0819	20	33667595
PD49227b_lo0291	2	233032143
PD49227b_lo0292	3	62312736
PD49227b_lo0292	4	117446893
PD49227b_lo0292	9	140580693
PD49227b_lo0292	10	52218947
PD49227b_lo0292	12	101759784
PD49227b_lo0295	2	97280893
PD49227b_lo0295	6	35630667
PD49227b_lo0295	11	114109224
PD49227b_lo0295	13	76425694
PD49227b_lo0295	13	81181607
PD49227b_lo0295	17	41441616
PD49227b_lo0299	9	37987990
PD49227b_lo0299	16	30558692
PD49227b_lo0299	16	89054278
PD49227b_lo0300	3	62312744
PD49227b_lo0300	4	117446924
PD49227b_lo0300	9	140580652
PD49227b_lo0300	10	52218713
PD49227b_lo0300	12	101759888
PD49227b_lo0303	2	97281030
PD49227b_lo0303	6	35630433
PD49227b_lo0303	11	114109325
PD49227b_lo0303	13	76425766
PD49227b_lo0305	10	88204693
PD49227b_lo0306	1	22030957
PD49227b_lo0306	4	184229282
PD49227b_lo0306	11	46136046
PD49227b_lo0306	21	23885365
PD49227b_lo0307	7	156748134
PD49227b_lo0307	18	36774964
PD49227b_lo0307	18	57628746
PD49227b_lo0309	5	131072039
PD49227b_lo0309	6	84932588
PD49227b_lo0309	9	20525720
PD49227b_lo0309	17	28000612
PD49227b_lo0309	17	40419376
PD49227b_lo0311	9	79232129
PD49227b_lo0311	11	20427788
PD49227b_lo0311	16	89200060
PD49227b_lo0313	1	90042195
PD49227b_lo0313	4	146562080
PD49227b_lo0314	1	22031035
PD49227b_lo0314	4	184229320
PD49227b_lo0314	11	46135976
PD49227b_lo0314	21	23885259
PD49227b_lo0319	4	102234578
PD49227b_lo0319	7	120685004
PD49227b_lo0319	8	108371920
PD49227b_lo0319	10	12626759
PD49227b_lo0319	11	116843305
PD49227b_lo0319	19	14861662
PD49227b_lo0319	20	5960633
PD49227b_lo0320	1	98229366
PD49227b_lo0320	3	156407684
PD49227b_lo0320	16	17547312
PD49227b_lo0320	17	4866282
PD49227b_lo0320	17	79602010
PD49227b_lo0320	17	79603393
PD49227b_lo0326	4	160253454
PD49227b_lo0326	5	147270792
PD49227b_lo0328	1	98229324
PD49227b_lo0328	3	156407629
PD49227b_lo0328	16	17547482
PD49227b_lo0328	17	4866347
PD49227b_lo0328	17	79602194
PD49227b_lo0329	1	28795728
PD49227b_lo0336	12	57718014
PD49227b_lo0336	X	76919591
PD49227b_lo0337	1	28803480
PD49227b_lo0337	2	86958141
PD49227b_lo0337	2	87292766
PD49227b_lo0337	3	16963198
PD49227b_lo0337	3	108366564
PD49227b_lo0337	3	194139950
PD49227b_lo0343	11	61612709
PD49227b_lo0344	5	179495812
PD49227b_lo0344	6	30668434
PD49227b_lo0344	6	89796874
PD49227b_lo0344	19	10576373
PD49227b_lo0344	19	19537469
PD49227b_lo0345	8	92130401
PD49227b_lo0346	2	228224150
PD49227b_lo0346	15	57520406
PD49227b_lo0346	16	18888870
PD49227b_lo0346	16	29456045
PD49227b_lo0346	17	4021451
PD49227b_lo0346	17	30205770
PD49227b_lo0346	19	12265328
PD49227b_lo0346	19	36643595
PD49227b_lo0352	11	64077524
PD49227b_lo0353	1	8865243
PD49227b_lo0353	4	160080817
PD49227b_lo0353	12	50090618
PD49227b_lo0354	16	14349840
PD49227b_lo0360	12	62930117
PD49227b_lo0360	20	39662284
PD49227b_lo0362	11	101006775
PD49227b_lo0366	6	89610103
PD49227b_lo0369	5	83216723
PD49227b_lo0369	12	117460638
PD49227b_lo0369	20	21341866
PD49227b_lo0370	1	239579079
PD49227b_lo0371	16	53326713
PD49227b_lo0372	9	132654552
PD49227b_lo0372	14	62169717
PD49227b_lo0375	9	42831836
PD49227b_lo0375	9	67004835
PD49227b_lo0375	9	69677519
PD49227b_lo0375	17	27805448
PD49227b_lo0375	X	94014893
PD49227b_lo0376	6	42620820
PD49227b_lo0376	11	64916411
PD49227b_lo0377	4	144768187
PD49227b_lo0378	4	24539673
PD49227b_lo0378	8	50157232
PD49227b_lo0378	15	78452051
PD49227b_lo0379	12	128265524
PD49227b_lo0381	1	28332751
PD49227b_lo0381	11	38570197
PD49227b_lo0382	1	110126043
PD49227b_lo0382	13	81181504
PD49227b_lo0382	17	41441619
PD49227b_lo0385	6	118867705
PD49227b_lo0385	11	112062347
PD49227b_lo0390	3	167356399
PD49227b_lo0391	1	35798554
PD49227b_lo0392	4	172980903
PD49227b_lo0392	7	91934636
PD49227b_lo0392	11	86893718
PD49227b_lo0392	14	32552599
PD49227b_lo0392	14	89676730
PD49227b_lo0394	8	82734113
PD49227b_lo0394	13	91770791
PD49227b_lo0395	3	101219384
PD49227b_lo0396	8	17796935
PD49227b_lo0397	4	37630290
PD49227b_lo0399	9	102811294
PD49227b_lo0400	7	110881841
PD49227b_lo0402	20	52697419
PD49227b_lo0403	7	135647673
PD49227b_lo0404	7	2227471
PD49227b_lo0404	14	60584975
PD49227b_lo0405	16	68211118
PD49227b_lo0407	6	32786839
PD49227b_lo0407	X	62865016
PD49227b_lo0409	1	35464385
PD49227b_lo0409	17	67025580
PD49227b_lo0413	2	86958157
PD49227b_lo0413	3	16963150
PD49227b_lo0413	3	108366451
PD49227b_lo0413	5	81025498
PD49227b_lo0413	12	102187125
PD49227b_lo0413	17	61406228
PD49227b_lo0416	17	40420358
PD49227b_lo0420	5	35885203
PD49227b_lo0422	4	116187438
PD49227b_lo0422	4	174025851
PD49227b_lo0422	5	25131951
PD49227b_lo0422	8	79026826
PD49227b_lo0422	14	71719156
PD49227b_lo0423	19	52091989
PD49227b_lo0426	11	66956421
PD49227b_lo0426	18	43811411
PD49227b_lo0427	5	119433810
PD49227b_lo0427	14	106923765
PD49227b_lo0427	21	28201894
PD49227b_lo0428	3	168097429
PD49227b_lo0431	2	207570823
PD49227b_lo0431	6	22900887
PD49227b_lo0434	11	73790786
PD49227b_lo0434	16	29293177
PD49227b_lo0436	7	129049762
PD49227b_lo0436	9	116029252
PD49227b_lo0438	6	13643232
PD49227b_lo0439	2	233032180
PD49227b_lo0439	16	90105989
PD49227b_lo0442	17	73146155
PD49227b_lo0451	17	4154984
PD49227b_lo0452	17	12007211
PD49227b_lo0452	22	45580643
PD49227b_lo0454	7	92468678
PD49227b_lo0462	1	35798314
PD49227b_lo0463	3	127323350
PD49227b_lo0467	5	247677
PD49227b_lo0467	18	37017154
PD49227b_lo0474	13	89492698
PD49227b_lo0475	12	80226760
PD49227b_lo0477	21	43367593
PD49227b_lo0493	10	103717658
PD49227b_lo0494	1	16882641
PD49227b_lo0494	1	17178245
PD49227b_lo0494	3	113469913
PD49227b_lo0494	21	18839943
PD49227b_lo0496	2	131847996
PD49227b_lo0496	15	81752041
PD49227b_lo0497	13	72366230
PD49227b_lo0499	11	5719757
PD49227b_lo0504	6	105232976
PD49227b_lo0504	10	20432235
PD49227b_lo0505	2	124797540
PD49227b_lo0509	1	1754768
PD49227b_lo0510	12	9921500
PD49227b_lo0513	1	154462776
PD49227b_lo0513	2	189984365
PD49227b_lo0519	21	27144353
PD49227b_lo0523	2	191112380
PD49227b_lo0523	3	168372236
PD49227b_lo0525	5	32131517
PD49227b_lo0525	8	60008106
PD49227b_lo0528	3	47139850
PD49227b_lo0530	20	9117130
PD49227b_lo0536	3	47139841
PD49227b_lo0538	1	112244003
PD49227b_lo0551	5	26738210
PD49227b_lo0551	11	120946557
PD49227b_lo0553	1	83623460
PD49227b_lo0553	7	76206273
PD49227b_lo0557	1	1754768
PD49227b_lo0560	Y	4038692
PD49227b_lo0562	7	140476664
PD49227b_lo0568	Y	4038633
PD49227b_lo0569	14	81191250
PD49227b_lo0573	18	3983889
PD49227b_lo0574	8	116531087
PD49227b_lo0574	17	45235305
PD49227b_lo0575	8	95531123
PD49227b_lo0582	1	154387060
PD49227b_lo0586	2	231227681
PD49227b_lo0586	8	50040665
PD49227b_lo0589	2	131847963
PD49227b_lo0589	15	81752041
PD49227b_lo0597	12	40646040
PD49227b_lo0601	9	94990882
PD49227b_lo0604	5	67529395
PD49227b_lo0607	2	43265237
PD49227b_lo0607	4	108576801
PD49227b_lo0607	14	92255245
PD49227b_lo0608	10	12256332
PD49227b_lo0616	1	29244319
PD49227b_lo0616	17	68762075
PD49227b_lo0618	17	33949513
PD49227b_lo0629	3	9415075
PD49227b_lo0630	17	40156148
PD49227b_lo0638	6	34895010
PD49227b_lo0640	1	207444993
PD49227b_lo0642	7	141417221
PD49227b_lo0647	5	163886041
PD49227b_lo0648	hs37d5	21122422
PD49227b_lo0648	hs37d5	22663031
PD49227b_lo0648	hs37d5	26003106
PD49227b_lo0650	14	81191155
PD49227b_lo0659	2	131847996
PD49227b_lo0659	15	81752041
PD49227b_lo0660	11	23644128
PD49227b_lo0660	13	71439692
PD49227b_lo0660	16	48292804
PD49227b_lo0661	4	160083234
PD49227b_lo0661	14	51201674
PD49227b_lo0661	17	30548896
PD49227b_lo0665	5	40570754
PD49227b_lo0665	13	62869864
PD49227b_lo0665	16	57667164
PD49227b_lo0665	17	73787178
PD49227b_lo0675	3	107301579
PD49227b_lo0677	1	197162917
PD49227b_lo0677	8	28076859
PD49227b_lo0677	12	43287556
PD49227b_lo0681	4	80829266
PD49227b_lo0681	5	131767516
PD49227b_lo0681	14	53238054
PD49227b_lo0682	3	114752692
PD49227b_lo0682	6	30023183
PD49227b_lo0682	X	4620920
PD49227b_lo0683	2	131847896
PD49227b_lo0683	15	81752041
PD49228b_lo0289	1	31438237
PD49228b_lo0289	19	55745589
PD49228b_lo0289	21	38760945
PD49228b_lo0290	1	155485872
PD49228b_lo0291	1	32615659
PD49228b_lo0291	3	15045890
PD49228b_lo0291	10	4774352
PD49228b_lo0291	19	49415136
PD49228b_lo0293	X	96170580
PD49228b_lo0294	19	12257062
PD49228b_lo0294	X	155128544
PD49228b_lo0295	1	172128961
PD49228b_lo0295	6	138964414
PD49228b_lo0295	7	71474484
PD49228b_lo0295	11	73179037
PD49228b_lo0295	15	49099975
PD49228b_lo0296	7	38205575
PD49228b_lo0296	12	7240021
PD49228b_lo0296	19	11077292
PD49228b_lo0296	hs37d5	32397652
PD49228b_lo0297	1	21477506
PD49228b_lo0297	9	140530698
PD49228b_lo0298	4	126394736
PD49228b_lo0302	16	14547838
PD49228b_lo0304	2	55310519
PD49228b_lo0304	2	145023042
PD49228b_lo0304	2	180844021
PD49228b_lo0304	10	6240440
PD49228b_lo0307	6	42548174
PD49228b_lo0309	22	28527097
PD49228b_lo0311	1	120584239
PD49228b_lo0311	1	145237282
PD49228b_lo0311	22	30704391
PD49228b_lo0314	1	198266971
PD49228b_lo0314	1	246482804
PD49228b_lo0314	6	30109729
PD49228b_lo0315	16	69648003
PD49228b_lo0316	3	95799220
PD49228b_lo0318	11	65943957
PD49228b_lo0320	2	43736478
PD49228b_lo0324	16	823267
PD49228b_lo0328	15	100348365
PD49228b_lo0328	15	102284547
PD49228b_lo0335	16	61482768
PD49228b_lo0337	12	54713686
PD49228b_lo0337	16	3521884
PD49228b_lo0340	3	127525349
PD49228b_lo0341	7	89249176
PD49228b_lo0341	17	54920782
PD49228b_lo0341	17	80489914
PD49228b_lo0347	2	136717717
PD49228b_lo0351	17	7781652
PD49228b_lo0353	11	65353317
PD49228b_lo0355	1	99918631
PD49228b_lo0357	3	37511569
PD49228b_lo0362	11	119163401
PD49228b_lo0365	3	129460340
PD49228b_lo0365	12	1325103
PD49228b_lo0366	16	50827043
PD49228b_lo0366	17	39444143
PD49228b_lo0366	18	20599061
PD49228b_lo0369	2	43436085
PD49228b_lo0372	4	177017182
PD49228b_lo0372	14	71560511
PD49228b_lo0372	18	14238300
PD49228b_lo0372	22	38879930
PD49228b_lo0373	8	104188657
PD49228b_lo0374	17	6807966
PD49228b_lo0376	2	185505300
PD49228b_lo0376	2	233579412
PD49228b_lo0376	3	38279978
PD49228b_lo0380	1	42711083
PD49228b_lo0382	5	77715722
PD49228b_lo0386	X	153972068
PD49228b_lo0387	7	72602548
PD49228b_lo0387	7	74156147
PD49228b_lo0388	5	147812702
PD49228b_lo0388	11	65930596
PD49228b_lo0392	3	151855088
PD49228b_lo0392	4	2866468
PD49228b_lo0394	3	47187100
PD49228b_lo0394	11	73622039
PD49228b_lo0394	12	53806741
PD49228b_lo0394	15	64628718
PD49228b_lo0394	16	89457843
PD49228b_lo0395	7	72602582
PD49228b_lo0395	7	74156152
PD49228b_lo0395	7	74619742
PD49228b_lo0396	13	85201603
PD49228b_lo0402	21	39906327
PD49228b_lo0408	11	66919108
PD49228b_lo0408	22	51101944
PD49228b_lo0415	6	32905598
PD49228b_lo0417	6	32261012
PD49228b_lo0420	8	61183151
PD49228b_lo0422	16	24562209
PD49228b_lo0425	1	183803304
PD49228b_lo0425	16	89876761
PD49228b_lo0427	1	16188052
PD49228b_lo0427	16	11644756
PD49228b_lo0428	4	30962002
PD49228b_lo0428	19	10234875
PD49228b_lo0429	1	23474279
PD49228b_lo0431	5	49639266
PD49228b_lo0431	17	76034101
PD49228b_lo0431	18	9149114
PD49228b_lo0433	15	49865374
PD49228b_lo0433	15	91292438
PD49228b_lo0439	5	49639578
PD49228b_lo0439	17	76034138
PD49228b_lo0439	18	9149090
PD49228b_lo0440	1	155349212
PD49228b_lo0440	17	45214847
PD49228b_lo0440	17	67154508
PD49228b_lo0441	12	54665518
PD49228b_lo0441	14	106340226
PD49228b_lo0441	18	45375168
PD49228b_lo0444	13	66914504
PD49228b_lo0444	16	14751721
PD49228b_lo0444	17	37475186
PD49228b_lo0444	18	9196381
PD49228b_lo0447	5	49639647
PD49228b_lo0447	17	76034138
PD49228b_lo0447	18	9149161
PD49228b_lo0456	19	6053178
PD49228b_lo0459	8	125335418
PD49228b_lo0464	4	126363765
PD49228b_lo0473	15	75217434
PD49228b_lo0477	1	8079838
PD49228b_lo0477	3	196312615
PD49228b_lo0478	6	12095584
PD49228b_lo0486	11	60148436
PD49228b_lo0486	22	22187639
PD49228b_lo0488	3	52137532
PD49228b_lo0489	14	31544349
PD49228b_lo0490	6	110414510
PD49228b_lo0490	11	65907393
PD49228b_lo0490	19	14027725
PD49228b_lo0491	6	4059634
PD49228b_lo0492	8	24147204
PD49228b_lo0492	17	43227852
PD49228b_lo0492	19	35737415
PD49228b_lo0492	20	45109218
PD49228b_lo0496	1	41568624
PD49228b_lo0496	1	65261807
PD49228b_lo0496	6	5379956
PD49228b_lo0496	6	33277953
PD49228b_lo0498	6	110414632
PD49228b_lo0498	11	65907393
PD49228b_lo0498	19	14027650
PD49228b_lo0500	5	89795576
PD49228b_lo0500	10	75821546
PD49228b_lo0500	15	66093242
PD49228b_lo0502	4	18430021
PD49228b_lo0502	4	78654132
PD49228b_lo0502	4	156653755
PD49228b_lo0502	11	94896717
PD49228b_lo0504	4	73958906
PD49228b_lo0504	15	42682361
PD49228b_lo0506	15	100212237
PD49228b_lo0508	7	106938942
PD49228b_lo0509	1	28944640
PD49228b_lo0510	3	49569224
PD49228b_lo0512	3	151855166
PD49228b_lo0512	4	2866468
PD49228b_lo0514	1	24293640
PD49228b_lo0514	4	80966710
PD49228b_lo0516	2	62256009
PD49228b_lo0516	X	35794510
PD49228b_lo0517	1	28944366
PD49228b_lo0519	12	10564902
PD49228b_lo0519	15	64081154
PD49228b_lo0519	16	69661378
PD49228b_lo0519	17	44155074
PD49228b_lo0523	2	209589778
PD49228b_lo0523	12	7868800
PD49228b_lo0523	16	31078839
PD49228b_lo0524	2	62255884
PD49228b_lo0524	X	35794554
PD49228b_lo0526	17	61869554
PD49228b_lo0528	15	65300318
PD49228b_lo0531	2	209589714
PD49228b_lo0531	12	7868834
PD49228b_lo0531	16	31078768
PD49228b_lo0532	12	6109484
PD49228b_lo0533	1	89231882
PD49228b_lo0536	21	39906285
PD49228b_lo0542	7	74156171
PD49228b_lo0543	8	107726432
PD49228b_lo0544	1	228514601
PD49228b_lo0544	11	64345020
PD49228b_lo0544	12	7041220
PD49228b_lo0546	17	4221693
PD49228b_lo0549	3	49434688
PD49228b_lo0549	19	48755962
PD49228b_lo0550	13	46594693
PD49228b_lo0552	4	18430021
PD49228b_lo0552	4	78654185
PD49228b_lo0552	4	131346347
PD49228b_lo0552	11	94896736
PD49228b_lo0554	15	41364722
PD49228b_lo0554	15	44766989
PD49228b_lo0557	1	21325125
PD49228b_lo0557	19	16204087
PD49228b_lo0560	2	62211618
PD49228b_lo0560	3	49434688
PD49228b_lo0560	3	51644850
PD49228b_lo0560	9	20465741
PD49228b_lo0560	19	48755962
PD49228b_lo0565	1	27807842
PD49228b_lo0565	5	142251748
PD49228b_lo0565	17	45652151
PD49228b_lo0565	22	42032370
PD49228b_lo0567	3	103331345
PD49228b_lo0567	20	35719058
PD49228b_lo0569	10	5064447
PD49228b_lo0575	10	4954258
PD49228b_lo0575	15	43385755
PD49228b_lo0578	10	46055034
PD49228b_lo0583	1	46114698
PD49228b_lo0583	3	167410498
PD49228b_lo0583	7	36141960
PD49228b_lo0583	12	22797818
PD49228b_lo0583	16	69492266
PD49228b_lo0583	17	58002612
PD49228b_lo0587	1	35577345
PD49228b_lo0587	6	36538288
PD49228b_lo0589	6	31825412
PD49228b_lo0590	16	46840454
PD49228b_lo0603	9	128516139
PD49228b_lo0606	15	91866012
PD49228b_lo0606	17	2551570
PD49228b_lo0606	20	3111255
PD49228b_lo0612	5	740876
PD49228b_lo0612	5	21526902
PD49228b_lo0612	9	131354628
PD49228b_lo0612	12	65582379
PD49228b_lo0612	14	70085183
PD49228b_lo0612	18	68327043
PD49228b_lo0612	19	17840870
PD49228b_lo0612	22	19314314
PD49228b_lo0614	11	47521877
PD49228b_lo0616	3	56768255
PD49228b_lo0617	1	199832489
PD49228b_lo0617	3	145806270
PD49228b_lo0617	15	41585222
PD49228b_lo0618	3	49385712
PD49228b_lo0618	12	6115340
PD49228b_lo0623	1	8753765
PD49228b_lo0623	6	32541980
PD49228b_lo0623	16	29551576
PD49228b_lo0627	9	36069857
